RANK,Country,latitude,longitude,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,,,latitude,longitude,country
36,Estonia,58.595272,25.013607,6.341,"6,415","6,266","1,442","1,793","1,232","0,728","0,689","0,123","0,333","4,467",,56.130366,-106.346771,Canada
37,Panama,8.537981,-80.782127,6.309,"6,464","6,154","2,086","1,715","1,107","0,709","0,592","0,049","0,051","4,908",,-12.164165,96.870956,Cocos [Keeling] Islands
38,Brazil,-14.235004,-51.92528,6.293,"6,384","6,202","2,361","1,462","1,044","0,615","0,546","0,131","0,134","4,867",,-4.038333,21.758664,Congo
39,Guatemala*,15.783471,-90.230759,6.262,"6,460","6,064","2,746","1,274","0,831","0,522","0,662","0,112","0,115","4,020",,6.611111,20.939444,Central African Republic
40,Kazakhstan,48.019573,66.923684,6.234,"6,330","6,138","1,860","1,668","1,220","0,611","0,584","0,134","0,157","4,748",,-0.228021,15.827659,Congo [Republic]
41,Cyprus,35.126413,33.429859,6.221,"6,320","6,122","2,044","1,815","0,909","0,819","0,448","0,123","0,062","3,859",,46.818188,8.227512,Switzerland
42,Latvia,56.879635,24.603189,6.180,"6,255","6,106","1,923","1,732","1,221","0,637","0,502","0,075","0,090","4,876",,7.539989,-5.54708,Côte d'Ivoire
43,Serbia,44.016521,21.005859,6.178,"6,294","6,062","2,031","1,550","1,086","0,658","0,546","0,219","0,088","4,667",,-21.236736,-159.777671,Cook Islands
44,Chile,-35.675147,-71.542969,6.172,"6,262","6,082","2,040","1,651","1,080","0,748","0,460","0,124","0,069","4,771",,-35.675147,-71.542969,Chile
45,Nicaragua,12.865416,-85.207229,6.165,"6,312","6,017","2,418","1,105","1,029","0,617","0,617","0,168","0,212","4,552",,7.369722,12.354722,Cameroon
46,Mexico,23.634501,-102.552784,6.128,"6,238","6,017","2,239","1,552","0,886","0,623","0,621","0,092","0,115","3,791",,35.86166,104.195397,China
47,Croatia,45.1,15.2,6.125,"6,229","6,022","1,884","1,705","1,183","0,709","0,535","0,109","0,000","4,772",,4.570868,-74.297333,Colombia
48,Poland,51.919438,19.145136,6.123,"6,205","6,040","1,693","1,758","1,174","0,712","0,523","0,124","0,140","4,625",,9.748917,-83.753428,Costa Rica
49,El Salvador,13.794185,-88.89653,6.120,"6,250","5,990","2,514","1,265","0,768","0,607","0,666","0,089","0,212","3,779",,21.521757,-77.781167,Cuba
50,Kuwait*,29.31166,47.481766,6.106,"6,235","5,977","1,621","1,904","0,983","0,747","0,617","0,087","0,147","3,525",,16.002082,-24.013197,Cape Verde
51,Hungary,47.162494,19.503304,6.086,"6,187","5,985","1,812","1,748","1,233","0,668","0,485","0,078","0,064","4,793",,-10.447525,105.690449,Christmas Island
52,Mauritius,-20.348404,57.552152,6.071,"6,184","5,958","1,969","1,591","1,116","0,568","0,589","0,131","0,107","4,676",,35.126413,33.429859,Cyprus
53,Uzbekistan,41.377491,64.585262,6.063,"6,178","5,948","1,913","1,219","1,092","0,600","0,716","0,283","0,240","4,224",,49.817492,15.472962,Czechia
54,Japan,36.204824,138.252924,6.039,"6,119","5,959","1,487","1,835","1,089","0,866","0,537","0,007","0,218","4,411",,51.165691,10.451526,Germany
55,Honduras,15.199999,-86.241905,6.022,"6,189","5,855","2,611","1,111","0,885","0,555","0,582","0,202","0,076","3,722",,11.825138,42.590275,Djibouti
56,Portugal,39.399872,-8.224454,6.016,"6,122","5,911","1,691","1,760","1,078","0,777","0,655","0,016","0,039","4,529",,56.26392,9.501785,Denmark
57,Argentina,-38.416097,-63.616672,5.967,"6,090","5,844","1,891","1,592","1,102","0,662","0,555","0,081","0,085","4,585",,15.414999,-61.370976,Dominica
58,Greece,39.074208,21.824312,5.948,"6,043","5,853","2,119","1,703","0,980","0,774","0,249","0,015","0,108","3,822",,18.735693,-70.162651,Dominican Republic
