Country,Continent ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Serbia,Europe,4.750383854,4.380311966,4.461304188,4.815186501,5.154521942,5.101840496,5.112728596,5.317685127,5.752754688,5.122031212,5.398,5.603,5.77820015,6.078,6.178,
El Salvador,South America,5.700929642,5.295535088,5.191493988,6.839087009,6.739911079,4.741294861,5.934371471,6.325063229,5.856523514,6.018496037,6.167,6.253,6.34829998,6.061,6.12,
Mauritius,Africa,5.477073193,5.647779942,5.610003471,6.174117565,6.580657959,6.525378227,6.829036236,6.962819099,6.802388668,6.909515381,5.891,5.888,6.101299763,6.049,6.071,
Latvia,Europe,4.70950222,4.666971684,5.145375252,4.668910503,4.966811657,5.125025272,5.069770336,5.729115486,5.880597591,5.940446377,5.933,5.94,5.949999809,6.032,6.18,
Colombia,South America,6.024942875,6.138411522,6.168395042,6.271604538,6.40811348,6.463952541,6.374879837,6.606550694,6.44878912,6.387571812,6.26,6.125,6.163400173,6.012,5.781,
Hungary,Europe,5.193933487,4.953917027,4.894600391,4.725132465,4.917602539,4.683358192,4.914466858,5.18056345,5.34438324,5.448901653,5.62,5.758,6.000400066,5.992,6.086,
Thailand,Asia,5.88543272,5.783891201,5.636471272,5.475645065,6.216702938,6.663609028,6.300235271,6.231024742,6.985463619,6.201762676,6.072,6.008,5.998799801,5.985,5.891,
Nicaragua,South America,4.460158348,4.944090843,5.103827477,5.352804661,5.68669939,5.385705471,5.448006153,5.772274971,6.275266647,5.924112797,6.141,6.105,6.13710022,5.972,6.165,
Japan,Asia,6.515817165,6.238197803,5.91067934,5.844999313,6.056752682,6.262793541,5.968216419,5.959361553,5.922620773,5.879684448,5.915,5.886,5.870800018,5.94,6.039,
Argentina,South America,6.312925339,6.073158264,5.961034298,6.424133301,6.441067219,6.775805473,6.468387127,6.582260132,6.671114445,6.69713068,6.388,6.086,5.974699974,5.929,5.967,
Portugal,Europe,5.405246258,5.716966629,5.094525814,5.219997883,4.993962288,5.157688141,5.12691164,5.080866337,5.446637154,5.711499214,5.41,5.693,5.910900116,5.929,6.016,
Honduras,South America,5.396519661,5.09715414,5.420331001,6.033189297,5.866131306,4.961031437,4.602218151,4.713358402,5.055726051,4.845436573,5.504,5.86,5.953199863,5.919,6.022,
Croatia,Europe,5.820907593,5.433319569,5.595575333,5.385372639,6.027634621,5.885462761,5.380692482,5.205438137,5.416875362,5.343165874,5.321,5.432,5.504700184,5.882,6.125,
Philippines,Asia,4.669945717,5.073562145,4.589065075,4.879910946,4.941514015,4.993956566,5.001965046,4.976925373,5.312550068,5.547489166,5.524,5.631,6.006000042,5.88,5.904,
South Korea,Asia,5.332177639,5.76727581,5.389624596,5.647689819,6.116024494,6.946599007,6.003286839,5.958809853,5.801325321,5.780211449,5.875,5.895,5.872399807,5.845,5.935,
Peru,South America,4.810845375,5.213962078,5.129230976,5.518846989,5.612785339,5.892457485,5.824557304,5.782557487,5.865815639,5.577263355,5.663,5.697,5.796800137,5.84,5.559,
Bosnia and Herzegovina,Europe,4.899806976,4.963477135,4.66851759,4.994670868,4.773144722,5.123664379,5.248954296,5.117177963,5.180865288,5.089902401,5.129,5.386,5.674099922,5.813,5.768,
Moldova,Europe,5.102071285,4.774918079,5.502756119,5.554374218,5.589736462,5.792262554,5.995712757,5.75605917,5.917058468,6.017472267,5.64,5.529,5.607500076,5.766,5.857,
